"CONTENT_ID","DO_NM","FACLT_DIV_NM","FACLT_NM","INDUTY","LCT_CL","MANAGE_STTUS","OPER_PD_CL","ROOM_COUNT","SBRS_CL","SIGUNGU_NM","SITE_BOTTOM_CL1","SITE_BOTTOM_CL2","SITE_BOTTOM_CL3","SITE_BOTTOM_CL4","SITE_BOTTOM_CL5"
100171,"인천시","민간","영흥도십리포캠핑장","일반야영장,자동차야영장","","운영","봄,여름,가을,겨울","16","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","옹진군","0","7","9","0","0"
100172,"충청북도","민간","하비비캠핑장","일반야영장","호수","운영","봄,여름,가을,겨울","16","전기,장작판매,놀이터,운동시설","충주시","0","16","0","0","0"
100173,"충청북도","민간","스테리움 제천","일반야영장,자동차야영장,카라반,글램핑","산","운영","봄,여름,가을,겨울","36","전기,무선인터넷,장작판매,온수","제천시","0","0","0","0","0"
100174,"강원도","민간","봄봄캠핑","일반야영장","계곡","운영","봄,여름,가을,겨울","12","전기,장작판매,온수,운동시설","춘천시","0","12","0","0","0"
100175,"경기도","민간","산속에 관광농원","일반야영장","산","운영","봄,여름,가을,겨울","51","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","동두천시","0","17","10","0","0"
100176,"충청북도","민간","화양숲노리캠핑장","자동차야영장","산","운영","봄,여름,가을,겨울","29","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","괴산군","0","29","0","0","0"
100177,"강원도","민간","양양고인돌캠프","일반야영장","계곡","운영","봄,여름,가을,겨울","40","전기,무선인터넷,장작판매,온수,운동시설","양양군","0","21","19","0","0"
100178,"강원도","민간","정선 도원펜션&캠핑장","일반야영장","산","운영","봄,여름,가을,겨울","1","전기,무선인터넷,물놀이장","정선군","0","0","1","0","0"
100179,"강원도","민간","영월가자 펜션&캠핑장","일반야영장,자동차야영장,카라반","산,숲,계곡,강","운영","봄,여름,가을,겨울","20","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터","영월군","0","13","4","0","0"
100181,"경기도","민간","캠프여주","일반야영장","산","운영","봄,여름,가을,겨울","56","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트.편의점","여주시","0","21","0","35","0"
100182,"경상북도","민간","솔가람 캠핑장","일반야영장","계곡","운영","봄,여름,가을,겨울","0","산책로","성주군","0","0","0","0","0"
100183,"강원도","지자체","라이프위드도그","일반야영장","산,숲","운영","봄,여름,가을,겨울","38","전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설","인제군","0","0","38","0","0"
100184,"경기도","민간","메기의 추억","일반야영장,카라반,글램핑","계곡","운영","봄,여름,가을,겨울","15","전기,무선인터넷,장작판매,온수,운동시설","가평군","0","6","0","0","0"
100185,"경기도","민간","아름다운 농원","일반야영장","강","운영","봄,여름,가을,겨울","0","","포천시","0","0","0","0","0"
100186,"충청남도","민간","(가)꽃향기","일반야영장","","운영","봄,여름,가을,겨울","0","","부여군","0","0","0","0","0"
100187,"강원도","민간","자연과힐링","카라반","산","운영","봄,여름,가을,겨울","5","전기,무선인터넷,물놀이장,운동시설","횡성군","0","0","0","0","0"
100188,"강원도","","황우거주식회사","일반야영장","","운영","봄,여름,가을,겨울","0","","횡성군","0","0","0","0","0"
100189,"경기도","민간","카캠 그라운드","일반야영장","산","운영","봄,여름,가을,겨울","8","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","가평군","0","8","0","0","0"
100190,"경기도","민간","솔잎향캠핑파크","일반야영장","산","운영","봄,여름,가을,겨울","17","전기,장작판매,온수","시흥시","0","0","0","0","0"
100191,"전라남도","민간","화순돔아일랜드","글램핑","강","운영","봄,여름,가을,겨울","7","전기,온수,놀이터","화순군","0","0","0","0","0"
100192,"경상남도","민간","라라캠핑장","일반야영장","산,숲,계곡","운영","봄,여름,가을,겨울","45","전기,무선인터넷,놀이터,운동시설","양산시","0","0","0","0","45"
100193,"충청남도","민간","선장포협동조합","자동차야영장","강","운영","봄,여름,가을,겨울","25","전기,온수,놀이터,운동장,운동시설,마트.편의점","아산시","25","0","0","0","0"
100194,"경기도","민간","더존 관광농원","카라반,글램핑","산","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","포천시","0","0","0","0","0"
100195,"전라북도","민간","물바람캠핑장","일반야영장","","운영","봄,여름,가을,겨울","0","","완주군","0","0","0","0","0"
100196,"인천시","민간","을왕리 솔트 캠핑장","자동차야영장","해변","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,온수","중구","0","30","0","0","0"
100197,"경상남도","민간","(주)백동소풍가는길","일반야영장","","운영","봄,여름,가을,겨울","0","","양산시","0","0","0","0","0"
100198,"강원도","민간","오아시스정글","일반야영장,자동차야영장","산","운영","봄,여름,가을,겨울","52","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","인제군","0","45","0","7","0"
100199,"경기도","","사노리숲캠핑장","일반야영장","","운영","봄,여름,가을,겨울","0","","구리시","0","0","0","0","0"
100200,"경기도","민간","별밤 글램핑","일반야영장","","운영","봄,여름,가을,겨울","0","","가평군","0","0","0","0","0"
100201,"강원도","민간","글램인스타","글램핑","산","운영","봄,여름,가을,겨울","23","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","정선군","0","0","0","0","0"
100202,"경기도","민간","가평조이글램핑","일반야영장,글램핑","","운영","봄,여름,가을,겨울","32","전기,무선인터넷,장작판매,온수","가평군","0","0","0","0","0"
100203,"충청북도","민간","둥그레휴양마을","자동차야영장,카라반,글램핑","숲","운영","봄,여름,가을,겨울","18","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","보은군","0","8","0","0","0"
100204,"강원도","민간","캠프 고토일","일반야영장","","운영","봄,여름,가을,겨울","0","","평창군","0","0","0","0","0"
100205,"세종시","민간","마을야영장, 침산추월","자동차야영장","도심","운영","봄,여름,가을,겨울","8","전기,무선인터넷,장작판매,온수,놀이터,운동장,운동시설","세종시","0","0","8","0","0"
100206,"경상북도","지자체","경상북도교육청김천오토캠핑장	","자동차야영장","산","운영","봄,여름,가을,겨울","15","전기,무선인터넷,온수,마트.편의점","김천시","0","0","0","0","0"
10,"강원도","민간","(주)아웃오브파크","카라반","산,강","운영","봄,여름,가을,겨울","40","운동시설","춘천시","0","0","0","0","0"
100000,"경상북도","민간","파크킹","자동차야영장","숲","운영","봄,여름,가을,겨울","32","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","김천시","3","0","0","29","0"
100001,"강원도","민간","봉즈살롱","자동차야영장","강","운영","봄,여름,가을,겨울","7","전기,무선인터넷,물놀이장","횡성군","0","7","0","0","0"
100002,"경기도","민간","힐링피아 카라반 글램핑 풀 캠핑장","일반야영장","산,숲,강","운영","봄,여름,가을,겨울","16","전기,무선인터넷,장작판매,온수,마트.편의점","가평군","0","0","15","0","0"
100003,"충청남도","민간","우니메이카 태안점","자동차야영장","숲","운영","봄,여름,가을,겨울","15","전기,장작판매,온수,놀이터,운동시설","태안군","0","0","15","0","0"
100004,"강원도","민간","뇌운계곡글램핑","글램핑","산","운영","봄,여름,가을,겨울","7","전기,무선인터넷","평창군","0","0","0","0","0"
100005,"충청북도","민간","충주 비내캠프 체험학습장","자동차야영장","숲","운영","봄,여름,가을,겨울","28","전기,장작판매,온수,놀이터,산책로,운동시설,마트.편의점","충주시","0","28","0","0","0"
100006,"충청남도","민간","솔비치캠핑장","일반야영장","해변","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,운동시설","태안군","0","30","0","0","0"
100007,"경상북도","민간","가온오토캠핑장","일반야영장","숲","운영","봄,여름,가을","31","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","포항시","0","0","8","23","0"
100008,"전라남도","민간","림스 글램핑","일반야영장,카라반,글램핑","숲","운영","봄,여름,가을,겨울","23","전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터","강진군","0","0","0","0","0"
100009,"경상북도","민간","호미곶유니의바다 카라반캠핑장","카라반","해변","운영","봄,여름,가을,겨울","15","전기,무선인터넷,온수,놀이터,운동시설","포항시","0","0","0","0","0"
100010,"경상북도","민간","예손캠핑장","일반야영장","숲","운영","봄,여름,가을,겨울","13","전기,장작판매,놀이터,운동시설","고령군","0","13","0","0","0"
100011,"경기도","민간","(주)웨이브파크","카라반","해변","운영","봄,여름,가을,겨울","15","전기,무선인터넷,장작판매,운동시설","시흥시","0","0","0","0","0"
100012,"경상북도","민간","포에스카라반파크","일반야영장","해변","운영","봄,여름,가을,겨울","38","전기,무선인터넷,온수,물놀이장,놀이터,운동시설","포항시","0","0","0","0","0"
100013,"경기도","민간","약수동산","일반야영장","산","운영","봄,여름,가을,겨울","20","전기,무선인터넷,장작판매,운동시설","양평군","0","15","5","0","0"
100014,"충청남도","민간","학암포글램핑","글램핑","해변","운영","봄,여름,가을,겨울","13","전기,온수,물놀이장,놀이터,운동시설","태안군","0","0","0","0","0"
100015,"경상남도","민간","더예감스테이","일반야영장","산","운영","봄,여름,가을,겨울","72","전기,무선인터넷,장작판매,온수,물놀이장,운동시설,마트.편의점","산청군","0","57","8","0","0"
100016,"경상남도","민간","캠프더포레","일반야영장","숲,계곡","운영","봄,여름,가을,겨울","27","전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","함양군","0","17","10","0","0"
100017,"인천시","민간","태그하우스","카라반","해변","운영","봄,여름,가을,겨울","5","전기,무선인터넷,장작판매,온수,물놀이장","강화군","0","0","0","0","0"
100019,"전라북도","민간","양지뜰캠핑장","자동차야영장","계곡","운영","봄,여름,가을,겨울","28","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","무주군","0","28","0","0","0"
100020,"강원도","민간","우리들캠핑장","일반야영장,글램핑","산,계곡","운영","봄,여름,가을,겨울","12","전기,무선인터넷,장작판매,온수,마트.편의점","양양군","0","10","0","0","0"
100021,"경기도","민간","밤벌캠핑장","일반야영장","","운영","봄,여름,가을,겨울","50","전기,무선인터넷,장작판매,온수,운동시설,마트.편의점","가평군","0","35","15","0","0"
100022,"경기도","민간","청춘캠핑장","카라반,글램핑","강","운영","봄,여름,가을,겨울","5","전기,무선인터넷,운동시설","가평군","0","0","0","0","0"
100023,"전라북도","민간","단아한","자동차야영장","숲","운영","봄,여름,가을","2","전기,무선인터넷,온수,물놀이장,운동시설","순창군","0","0","0","0","0"
100025,"경상북도","지자체","고래불해수욕장(병곡지구) 야영장","일반야영장","","운영","여름","0","","영덕군","0","0","0","0","0"
100026,"경상북도","민간","다시캠핑장","자동차야영장","숲","운영","봄,여름,가을,겨울","12","전기,무선인터넷,장작판매,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","고령군","0","12","0","0","0"
100027,"경상북도","민간","산내들캠프","일반야영장","계곡","운영","봄,여름,가을,겨울","15","전기,장작판매,물놀이장,놀이터,산책로,운동시설","경주시","0","0","0","15","0"
100028,"경상북도","지자체","고래불해수욕장(영리지구) 야영장","일반야영장","","운영","여름","0","","영덕군","0","0","0","0","0"
100029,"경상북도","민간","빗소리야영장","일반야영장","숲","운영","봄,여름,가을,겨울","27","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","청도군","0","27","0","0","0"
100031,"경기도","지자체","화성시 매송 오토캠핑장","일반야영장","호수","운영","봄,여름,가을,겨울","25","전기,무선인터넷","화성시","0","0","25","0","0"
100032,"강원도","민간","캠핑느루","자동차야영장","산,숲,계곡","운영","봄,여름,가을,겨울","8","전기,무선인터넷,장작판매,온수,운동시설","고성군","0","7","1","0","0"
100033,"강원도","지자체","자작도캠핑장","자동차야영장","해변","운영","봄,여름,가을,겨울","28","전기,무선인터넷,장작판매,운동시설","고성군","0","0","28","0","0"
100035,"충청북도","민간","오렌지캠프","일반야영장","숲","운영","봄,여름,겨울","11","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","보은군","0","11","0","0","0"
100036,"충청남도","민간","웰니스 권역 야영장","자동차야영장","숲","운영","봄,여름,가을,겨울","20","전기,온수,놀이터,산책로,운동장","공주시","0","20","0","0","0"
100037,"경기도","민간","캠프고일리","일반야영장","산","운영","봄,여름,가을,겨울","4","전기,무선인터넷,온수,트렘폴린,물놀이장,산책로","포천시","4","0","0","0","0"
100038,"대구시","민간","하늘아래 야영장","카라반","숲","운영","봄,여름,가을,겨울","14","전기,장작판매,온수,물놀이장,놀이터,운동시설","수성구","0","0","0","0","0"
100039,"강원도","지자체","명파리해변야영장","일반야영장","해변","운영","봄,여름,가을,겨울","21","전기,장작판매,온수,운동시설","고성군","0","0","21","0","0"
100040,"경상북도","민간","경주 캠핑573","자동차야영장,글램핑","숲","운영","봄,여름,가을,겨울","12","전기,무선인터넷,장작판매,온수,운동시설","경주시","0","0","0","6","0"
100041,"경상북도","지자체","염전해변캠핑장","일반야영장,자동차야영장,카라반","해변","운영","봄,여름,가을,겨울","31","전기,온수,놀이터","울진군","8","0","19","0","0"
100042,"경상남도","민간","월성자연캠핑야영장","일반야영장","숲,계곡","운영","봄,여름,가을,겨울","17","전기,장작판매,온수,물놀이장,놀이터,운동시설","거창군","0","10","5","0","0"
100043,"경상북도","민간","백석탄골부리캠핑장","일반야영장","계곡","운영","봄,여름,가을,겨울","10","전기,온수,놀이터","청송군","0","0","10","0","0"
100044,"충청북도","민간","박달재초록꿈캠핑체험장","일반야영장","숲","운영","봄,여름,가을,겨울","11","전기,온수,산책로,운동장","제천시","0","11","0","0","0"
100045,"경기도","민간","읍내리 75-1 캠핑장","일반야영장","강","운영","봄,여름,가을,겨울","37","전기,무선인터넷,장작판매,물놀이장,운동시설","가평군","0","20","0","0","0"
100046,"전라북도","민간","바다야영장","자동차야영장","해변","운영","봄,여름,가을,겨울","19","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설,마트.편의점","부안군","0","19","0","0","0"
100047,"경상북도","","성요셉치유마을 야영장","일반야영장","","휴장","봄,여름,가을,겨울","0","","문경시","0","0","0","0","0"
100048,"전라북도","","변산해수욕장 야영장","일반야영장","","운영","봄,여름,가을,겨울","0","","부안군","0","0","0","0","0"
100049,"경상북도","민간","천주봉 캠핑장","일반야영장","숲,계곡","운영","봄,여름,가을,겨울","10","전기,장작판매,온수,물놀이장,놀이터,운동시설","문경시","0","10","0","0","0"
100053,"경상남도","민간","FLOW 11 야영장","자동차야영장","숲","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","창녕군","15","15","0","0","0"
100054,"경상남도","민간","우니메이카 산청점","일반야영장","계곡","운영","봄,여름,가을,겨울","6","전기,무선인터넷,장작판매,온수,물놀이장,운동시설","산청군","0","6","0","0","0"
100056,"경기도","민간","운악산 글램핑","글램핑","산","운영","봄,여름,가을,겨울","17","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설","포천시","0","0","0","0","0"
100057,"경기도","민간","수원 솔내음 캠핑장","카라반,글램핑","숲","운영","봄,여름,가을,겨울","30","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","수원시","0","0","0","0","0"
100058,"충청북도","민간","월악파머스캠핑장","자동차야영장","산,계곡","운영","봄,여름,가을,겨울","17","전기,장작판매,온수,운동시설","제천시","0","10","7","0","0"
100060,"경기도","민간","노마드 캠프","일반야영장","","운영","봄,여름,가을,겨울","0","","남양주시","0","0","0","0","0"
