"facltNm","contentId","manageSttus","induty","lctCl","doNm","sigunguNm","operPdCl","sbrsCl","facltDivNm","siteBottomCl1","siteBottomCl2","siteBottomCl3","siteBottomCl4","siteBottomCl5","roomCount"
"이순신 글램핑","7201","운영","일반야영장,글램핑","해변,산","전라북도","부안군","봄,여름,가을","전기,무선인터넷,장작판매,온수,물놀이장,놀이터","민간","0","0","5","0","0","5"
"황정민 글램핑","7202","운영","자동차야영장","","경기도","가평군","","전기,온수,운동시설","민간","0","0","0","0","0","0"
"입화산 참살이 숲 야영장","7204","운영","자동차야영장","산,숲","울산시","중구","봄,여름,가을,겨울","전기,온수,물놀이장,놀이터,운동장","지자체","0","0","31","0","0","31"
"장수방화동캠핑장","7205","운영","일반야영장","산,숲,계곡","전라북도","장수군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,운동시설","민간","0","34","0","0","0","34"
"장수자연관광농원","7206","운영","자동차야영장","산,숲","경기도","용인시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설","민간","0","80","0","0","0","80"
"제암산자연휴양림 야영장","7207","운영","일반야영장","산","전라남도","보성군","봄,여름,가을,겨울","물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점","자연휴양림","0","0","40","0","0","40"
"주작산 별소리캠핑장","7208","운영","일반야영장,글램핑","산,숲,계곡","전라남도","강진군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,마트.편의점","민간","0","26","0","0","0","34"
"주작산자연휴양림 야영장","7209","운영","일반야영장","산,숲","전라남도","강진군","봄,여름,가을,겨울","전기,온수,놀이터,마트.편의점","자연휴양림","0","0","10","0","0","10"
"지리산 대경캠핑장","721","운영","자동차야영장","","경상남도","산청군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트.편의점","민간","0","39","1","0","0","40"
"추월산골드캠핑장","7210","운영","일반야영장,카라반","계곡,호수","전라남도","담양군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설,마트.편의점","민간","0","18","2","0","0","23"
"수피다 캠핑장","7211","운영","자동차야영장","산","강원도","화천군","봄,여름,가을","전기,무선인터넷,장작판매","민간","0","0","0","0","0","7"
"캠플레이 캠핑장","7212","운영","자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,산책로","민간","0","0","0","0","0","15"
"캠핑스마일","7213","운영","자동차야영장","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,트렘폴린,놀이터,산책로,운동시설","민간","0","35","0","0","0","70"
"캠핑어클락","7214","운영","자동차야영장,카라반,글램핑","산,숲,계곡","경기도","가평군","봄,여름,가을","전기,무선인터넷,장작판매,온수,산책로,운동시설","민간","0","31","1","0","0","32"
"토토큰바위 캠핑장","7216","운영","일반야영장","계곡","경기도","가평군","봄,여름,가을,겨울","전기,장작판매,온수,놀이터,운동시설","민간","0","7","6","0","0","24"
"티앤글램핑","7217","운영","글램핑","산,숲,계곡","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","12","12","0","0","12"
"파인포레스트 글램핑","7218","운영","글램핑","산,숲","경기도","가평군","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","민간","0","0","8","0","0","8"
"파인힐캠프","7219","운영","일반야영장","산,숲","충청남도","예산군","봄,여름,가을,겨울","전기,장작판매,온수","민간","0","0","21","0","3","24"
"대관령솔내음오토캠핑장","722","운영","일반야영장,카라반","산,숲","강원도","강릉시","봄,여름,가을,겨울","전기,무선인터넷,장작판매,온수,놀이터,산책로,운동시설,마트.편의점","민간","0","60","60","0","0","121"
